project,language,article,access,agent,granularity,date,views
wikipedia,en,Arctic_wolf,desktop,user,daily,22/04/2017,153
wikipedia,en,Arctic_wolf,desktop,user,daily,23/04/2017,186
wikipedia,en,Arctic_wolf,desktop,user,daily,24/04/2017,405
wikipedia,en,Arctic_wolf,desktop,user,daily,25/04/2017,466
wikipedia,en,Arctic_wolf,desktop,user,daily,26/04/2017,467
wikipedia,en,Arctic_wolf,desktop,user,daily,27/04/2017,530
wikipedia,en,Arctic_wolf,desktop,user,daily,28/04/2017,434
wikipedia,en,Arctic_wolf,desktop,user,daily,29/04/2017,140
wikipedia,en,Arctic_wolf,desktop,user,daily,30/04/2017,191
wikipedia,en,Arctic_wolf,mobile-web,user,daily,01/01/2017,191
wikipedia,en,Arctic_wolf,mobile-web,user,daily,02/01/2017,227
wikipedia,en,Arctic_wolf,mobile-web,user,daily,03/01/2017,263
wikipedia,en,Arctic_wolf,mobile-web,user,daily,04/01/2017,267
wikipedia,en,Arctic_wolf,mobile-web,user,daily,05/01/2017,275
wikipedia,en,Arctic_wolf,mobile-web,user,daily,06/01/2017,270
wikipedia,en,Arctic_wolf,mobile-web,user,daily,07/01/2017,224
wikipedia,en,Arctic_wolf,mobile-web,user,daily,08/01/2017,290
wikipedia,en,Arctic_wolf,mobile-web,user,daily,09/01/2017,328
wikipedia,en,Arctic_wolf,mobile-web,user,daily,10/01/2017,265
wikipedia,en,Arctic_wolf,mobile-web,user,daily,11/01/2017,349
wikipedia,en,Arctic_wolf,mobile-web,user,daily,12/01/2017,311
wikipedia,en,Arctic_wolf,mobile-web,user,daily,13/01/2017,316
wikipedia,en,Arctic_wolf,mobile-web,user,daily,14/01/2017,282
wikipedia,en,Arctic_wolf,mobile-web,user,daily,15/01/2017,282
wikipedia,en,Arctic_wolf,mobile-web,user,daily,16/01/2017,319
wikipedia,en,Arctic_wolf,mobile-web,user,daily,17/01/2017,318
wikipedia,en,Arctic_wolf,mobile-web,user,daily,18/01/2017,349
wikipedia,en,Arctic_wolf,mobile-web,user,daily,19/01/2017,327
wikipedia,en,Arctic_wolf,mobile-web,user,daily,20/01/2017,255
wikipedia,en,Arctic_wolf,mobile-web,user,daily,21/01/2017,205
wikipedia,en,Arctic_wolf,mobile-web,user,daily,22/01/2017,247
wikipedia,en,Arctic_wolf,mobile-web,user,daily,23/01/2017,405
wikipedia,en,Arctic_wolf,mobile-web,user,daily,24/01/2017,362
wikipedia,en,Arctic_wolf,mobile-web,user,daily,25/01/2017,312
wikipedia,en,Arctic_wolf,mobile-web,user,daily,26/01/2017,326
wikipedia,en,Arctic_wolf,mobile-web,user,daily,27/01/2017,252
wikipedia,en,Arctic_wolf,mobile-web,user,daily,28/01/2017,217
wikipedia,en,Arctic_wolf,mobile-web,user,daily,29/01/2017,247
wikipedia,en,Arctic_wolf,mobile-web,user,daily,30/01/2017,259
wikipedia,en,Arctic_wolf,mobile-web,user,daily,31/01/2017,326
wikipedia,en,Arctic_wolf,mobile-web,user,daily,01/02/2017,315
wikipedia,en,Arctic_wolf,mobile-web,user,daily,02/02/2017,314
wikipedia,en,Arctic_wolf,mobile-web,user,daily,03/02/2017,326
wikipedia,en,Arctic_wolf,mobile-web,user,daily,04/02/2017,244
wikipedia,en,Arctic_wolf,mobile-web,user,daily,05/02/2017,268
wikipedia,en,Arctic_wolf,mobile-web,user,daily,06/02/2017,286
wikipedia,en,Arctic_wolf,mobile-web,user,daily,07/02/2017,321
wikipedia,en,Arctic_wolf,mobile-web,user,daily,08/02/2017,303
wikipedia,en,Arctic_wolf,mobile-web,user,daily,09/02/2017,309
wikipedia,en,Arctic_wolf,mobile-web,user,daily,10/02/2017,231
wikipedia,en,Arctic_wolf,mobile-web,user,daily,11/02/2017,248
wikipedia,en,Arctic_wolf,mobile-web,user,daily,12/02/2017,295
wikipedia,en,Arctic_wolf,mobile-web,user,daily,13/02/2017,273
wikipedia,en,Arctic_wolf,mobile-web,user,daily,14/02/2017,261
wikipedia,en,Arctic_wolf,mobile-web,user,daily,15/02/2017,261
wikipedia,en,Arctic_wolf,mobile-web,user,daily,16/02/2017,359
